Rank,Name,Industry,Revenue(in  ₹ Crore),Revenue growth,Profits(in  ₹ Crore),Headquarters,State Controlled
1,Indian Oil Corporation,Oil and gas,"4,24,321",13.20%,"22,189",New Delhi,Yes
2,Reliance Industries Limited,Oil and gas,"4,10,295",28.20%,"36,075",Mumbai,
3,Oil and Natural Gas Corporation,Oil and gas,"3,33,143",11.00%,"22,106",New Delhi,Yes
4,State Bank of India,Banking,"3,06,528",2.60%,"−4,556",Mumbai,Yes
5,Tata Motors,Automotive,"3,01,175",7.90%,"8,989",Mumbai,
6,Bharat Petroleum,Oil and gas,"2,38,638",13.70%,"9,009",Mumbai,Yes
7,Hindustan Petroleum,Oil and gas,"2,21,693",13.40%,"7,218",Mumbai,Yes
8,Rajesh Exports,Gems and jewellery,"1,87,748",22.50%,"1,266",Bangalore,
9,Tata Steel,Iron and steel,"1,47,192",25.30%,"13,434",Mumbai,
10,Coal India,Metals and mining,"1,32,897",5.30%,"7,020",Kolkata,Yes
11,Tata Consultancy Services,Infotech,"1,26,745",3.60%,"25,826",Mumbai,
12,Larsen & Toubro,Capital goods,"1,22,743",10.60%,"7,370",Mumbai,
13,Hindalco Industries,Metals and mining,"1,20,428",15.50%,"6,083",Mumbai,
14,ICICI Bank,Banking,"1,18,969",4.90%,"7,712",Mumbai,
15,Vedanta Resources,Metals and mining,"1,02,192",30.80%,"10,342","London, UK",
16,HDFC Bank,Banking,"1,01,344",17.60%,"18,510",Mumbai,
17,Mahindra & Mahindra,Automotive,"96,377",12.20%,"7,510",Mumbai,
18,NTPC Limited,Utilities,"90,144",7.70%,"10,544",New Delhi,Yes
19,Bharti Airtel,Telecommunication,"86,704",13.00%,"1,099",New Delhi,
20,Maruti Suzuki India,Automotive,"81,978",15.60%,"7,880",New Delhi,
21,Infosys,Infotech,"73,762",3.10%,"16,029",Bangalore,
22,Nayara Energy,Oil and gas,"73,015",10.70%,576,Mumbai,
23,HDFC,Financials,"72,596",18.90%,"16,255",Mumbai,
24,JSW Steel Ltd,Iron and steel,"70,148",22.60%,"6,214",Mumbai,
25,Axis Bank,Banking,"58,477",1.50%,456,Mumbai,Yes
26,Steel Authority of India,Iron and steel,"57,626",28.80%,−281,New Delhi,Yes
27,Punjab National Bank,Banking,"57,608",0.70%,"−12,130",New Delhi,Yes
28,Grasim Industries,Diversified,"57,273",54.90%,"2,679",Mumbai,
29,Wipro,Infotech,"56,986",1.60%,"8,003",Bangalore,
30,Motherson Sumi Systems,Automotive,"56,839",32.70%,"1,597",Noida,
31,GAIL,Oil and gas,"55,503",11.60%,"4,799",New Delhi,Yes
32,Bank of Baroda,Banking,"54,048",3.10%,"−1,887",Vadodara,Yes
33,HCL Technologies,Infotech,"51,695",6.30%,"8,721",Noida,
34,MRPL,Oil and gas,"50,209",8.90%,"1,993",Mangalore,Yes
35,Canara Bank,Banking,"48,743",1.20%,"−3,951",Bangalore,Yes
36,ITC Limited,Consumer goods,"44,674",1.60%,"11,271",Kolkata,
37,Bank of India,Banking,"44,158",4.80%,"−5,961",Mumbai,Yes
38,General Insurance Corporation of India,Insurance,"43,555",38.90%,"3,146",Mumbai,Yes
39,Kotak Mahindra Bank,Banking,"38,813",14.20%,"6,201",Mumbai,
40,Union Bank of India,Banking,"38,413",0.40%,"−5,212",Mumbai,Yes
41,Hindustan Unilever,Consumer goods,"36,088",7.10%,"5,214",Mumbai,
42,Vodafone India,Telecommunication,"34,855",18.90%,"7,766",Mumbai,
43,Tata Power,Utilities,"33,213",12.80%,"2,477",Mumbai,
44,Chennai Petroleum Corporation,Oil and gas,"33,187",20.00%,927,Chennai,Yes
45,Hero MotoCorp,Automotive,"33,141",12.90%,"3,720",New Delhi,
46,Tech Mahindra,Infotech,"32,190",7.60%,"3,800",Pune,
47,UltraTech Cement,Cement,"32,106",23.70%,"2,222",Mumbai,
48,Petronet LNG,Oil and gas,"30,949",23.90%,"2,110",New Delhi,Yes
49,Power Grid Corporation of India,Utilities,"30,908",16.10%,"8,198",Gurgaon,Yes
50,Bajaj Finserv,Financials,"30,599",24.90%,"2,741",Pune,
